node_id,disciplina_estrategica,disciplina,materia,conteudo,subunidade,descricao_curta,tamanho_pedagogico,expected_contacts_min,expected_contacts_target,cadencia_base,frequencia_base,peso_recorrencia,peso_estrategico,tipo_no,free_mode,ativo,observacoes
MATH_014,Matematica,Matematica,Sequencias,Progressoes,Progressoes,Reconhecer padroes de crescimento em PA e PG,medio,3,5,3d,media,1.0,1.2,content,true,true,Transicao entre algebra basica e modelagem.
MATH_015,Matematica,Matematica,Geometria Plana,Fundamentos de geometria,Pontos retas angulos e segmentos,Consolidar base de leitura geometrica,medio,3,5,3d,media,1.1,1.2,content,true,true,Refinamento do antigo no amplo de fundamentos e poligonos.
MATH_016,Matematica,Matematica,Geometria Plana,Triangulos,Triangulos,Trabalhar propriedades classificacoes e relacoes metricas basicas,medio,3,5,3d,alta,1.2,1.3,content,true,true,Base para Tales semelhanca e trigonometria.
MATH_017,Matematica,Matematica,Geometria Plana,Circunferencia e circulo,Circunferencia e circulo,Interpretar elementos e medidas ligadas ao circulo,medio,3,5,3d,media,1.0,1.2,content,true,true,Ajuda trigonometria e geometria analitica.
MATH_018,Matematica,Matematica,Geometria Plana,Quadrilateros,Quadrilateros,Reconhecer propriedades e relacoes em quadrilateros,medio,3,5,3d,media,1.0,1.2,content,true,true,Complementa fundamentos de geometria plana.
MATH_019,Matematica,Matematica,Geometria Plana,Semelhanca e proporcionalidade,Teorema de Tales,Aplicar Tales em problemas geometricos e proporcionais,medio,4,6,3d,alta,1.2,1.3,content,true,true,Primeiro recorte do antigo no amplo com semelhanca.
MATH_020,Matematica,Matematica,Geometria Espacial,Solidos espaciais,Poliedros,Reconhecer classificacoes e elementos dos poliedros,medio,3,5,4d,media,0.9,1.2,content,true,true,Entrada da geometria espacial.
MATH_021,Matematica,Matematica,Geometria Espacial,Solidos espaciais,Prisma paralelepipedo e cubo,Resolver problemas com prismas e derivados,medio,3,5,4d,media,1.0,1.2,content,true,true,Aplicacao inicial em volume e area.
MATH_022,Matematica,Matematica,Geometria Espacial,Corpos redondos,Cilindro,Resolver problemas com cilindros,medio,3,5,4d,media,1.0,1.2,content,true,true,Corpo redondo mais direto da trilha.
MATH_023,Matematica,Matematica,Geometria Espacial,Solidos espaciais,Piramide,Resolver problemas com piramides,medio,3,5,4d,media,1.0,1.2,content,true,true,Depende da leitura espacial previa.
MATH_024,Matematica,Matematica,Geometria Espacial,Corpos redondos,Cone,Resolver problemas com cones,medio,3,5,4d,media,1.0,1.2,content,true,true,Corpo redondo mais exigente que cilindro.
MATH_025,Matematica,Matematica,Geometria Espacial,Corpos redondos,Esfera,Resolver problemas com esferas e secoes simples,medio,3,5,4d,media,1.0,1.2,content,true,true,Fecha o bloco principal de corpos redondos.
MATH_026,Matematica,Matematica,Geometria Espacial,Solidos espaciais,Solidos semelhantes e troncos,Aplicar semelhanca e cortes em solidos,grande,4,6,5d,media,1.0,1.2,content,true,true,No mais integrador da geometria espacial.
MATH_027,Matematica,Matematica,Estatistica,Estatistica descritiva,Medidas de tendencia central,Trabalhar media mediana e moda com seguranca,medio,3,5,3d,alta,1.2,1.3,content,true,true,Refinamento do antigo no amplo de estatistica geral.
MATH_028,Matematica,Matematica,Estatistica,Leitura de dados,Interpretacao de graficos,Ler tabelas graficos e comparacoes quantitativas,medio,3,5,2d,alta,1.3,1.3,skill,true,true,Conteudo continuo com alta utilidade transversal.
MATH_029,Matematica,Matematica,Contagem e acaso,Analise combinatoria,Principio fundamental da contagem,Contar casos simples com organizacao correta,medio,3,5,4d,media,1.1,1.2,content,true,true,Base mais enxuta antes de arranjos combinacoes e probabilidade.
MATH_030,Matematica,Matematica,Contagem e acaso,Probabilidade,Probabilidade basica,Calcular probabilidades simples em espaco amostral finito,medio,4,6,4d,alta,1.2,1.3,content,true,true,Primeiro degrau da trilha de probabilidade.
MATH_031,Matematica,Matematica,Funcoes,Funcoes polinomiais,Funcao afim,Interpretar relacao linear taxa e grafico simples,medio,3,5,3d,alta,1.2,1.3,content,true,true,Entrada natural na trilha de funcoes.
MATH_032,Matematica,Matematica,Funcoes,Funcoes polinomiais,Funcao quadratica,Interpretar concavidade zeros e grafico parabolico,medio,4,6,4d,alta,1.2,1.3,content,true,true,Depende de quadratica e linguagem de funcao.
MATH_033,Matematica,Matematica,Funcoes,Funcoes nao lineares,Funcao exponencial,Ler crescimento exponencial e seus graficos,medio,3,5,4d,media,1.1,1.2,content,true,true,Ponte para logaritmos e modelagem.
MATH_034,Matematica,Matematica,Funcoes,Funcoes nao lineares,Logaritmo,Relacionar expoentes e escalas logaritmicas,medio,4,6,4d,media,1.0,1.2,content,true,true,Normalmente vem depois da funcao exponencial.
MATH_035,Matematica,Matematica,Aplicacoes numericas,Matematica financeira,Juros simples e descontos,Resolver comparacoes financeiras de entrada,medio,4,6,3d,alta,1.3,1.3,content,true,true,Refina o conteudo amplo de matematica comercial e financeira.
MATH_036,Matematica,Matematica,Trigonometria,Base trigonometrica,Circunferencia trigonometrica,Entender ciclo trigonometrico e leitura angular,medio,4,6,4d,media,1.0,1.2,content,true,true,Base conceitual para funcoes e equacoes trigonometricas.
MATH_037,Matematica,Matematica,Trigonometria,Base trigonometrica,Razoes trigonometricas,Aplicar seno cosseno e tangente em triangulos,medio,4,6,4d,alta,1.2,1.3,content,true,true,No central da trigonometria escolar.
MATH_038,Matematica,Matematica,Trigonometria,Trigonometria analitica,Equacoes trigonometricas,Resolver equacoes simples com apoio do ciclo,grande,4,6,5d,media,0.9,1.1,content,true,true,Conteudo mais avancado da trilha trigonometrica.
MATH_039,Matematica,Matematica,Trigonometria,Trigonometria analitica,Funcoes trigonometricas,Ler graficos e comportamento periodico de funcoes trigonometricas,grande,4,6,5d,media,1.0,1.2,content,true,true,Integra linguagem de funcao com trigonometria.
MATH_040,Matematica,Matematica,Algebra Linear,Matrizes,Matrizes,Manipular matrizes operacoes e leitura de organizacao tabular,medio,3,5,4d,media,0.9,1.1,content,true,true,Conteudo mais isolado mas util para sistemas.
MATH_041,Matematica,Matematica,Algebra Linear,Sistemas lineares,Sistemas lineares,Resolver sistemas e interpretar solucoes,medio,4,6,4d,media,1.0,1.2,content,true,true,Conecta algebra basica e matrizes.
MATH_042,Matematica,Matematica,Geometria Analitica,Base analitica,Fundamentos da geometria analitica,Localizar pontos e interpretar plano cartesiano,medio,3,5,4d,media,1.0,1.2,content,true,true,Entrada da geometria analitica.
MATH_043,Matematica,Matematica,Geometria Analitica,Base analitica,Reta,Trabalhar coeficientes distancia e leitura de retas,medio,4,6,4d,media,1.1,1.2,content,true,true,Base imediata para problemas analiticos.
MATH_044,Matematica,Matematica,Geometria Analitica,Base analitica,Circunferencia,Interpretar equacoes e propriedades de circunferencia no plano,medio,4,6,4d,media,1.0,1.2,content,true,true,Fecha a trilha inicial de geometria analitica.
MATH_045,Matematica,Matematica,Proporcionalidade,Razao e proporcao,Proporcao,Reconhecer igualdade entre razoes e montar proporcoes,medio,3,5,2d,alta,1.2,1.3,content,true,true,Refina o conteudo amplo de razao e proporcao.
MATH_046,Matematica,Matematica,Aplicacoes numericas,Matematica financeira,Juros compostos e comparacoes financeiras,Comparar crescimento financeiro e tomadas de decisao,grande,4,6,4d,alta,1.3,1.3,content,true,true,Parte mais pesada da matematica financeira escolar.
MATH_047,Matematica,Matematica,Matematica Basica,Operacoes com inteiros,Multiplicacao e divisao,Multiplicar e dividir inteiros com seguranca,micro,2,4,1d,alta,1.0,1.3,skill,true,true,Desdobra pedagogicamente o conteudo amplo das quatro operacoes.
MATH_048,Matematica,Matematica,Geometria Plana,Fundamentos de geometria,Poligonos e soma de angulos,Trabalhar classificacao de poligonos e soma angular,medio,3,5,3d,media,1.0,1.2,content,true,true,Recorte proprio para nao deixar fundamentos geometricos amplos demais.
MATH_049,Matematica,Matematica,Geometria Plana,Semelhanca e proporcionalidade,Semelhanca de triangulos,Aplicar criterios de semelhanca em problemas geometricos,medio,4,6,3d,alta,1.2,1.3,content,true,true,Complementa o teorema de Tales com foco mais direto em semelhanca.
MATH_050,Matematica,Matematica,Estatistica,Estatistica descritiva,Medidas de dispersao e variacao,Ler amplitude e nocao de dispersao em conjuntos de dados,medio,3,5,3d,media,1.0,1.2,content,true,true,Completa a base de estatistica descritiva.
MATH_051,Matematica,Matematica,Contagem e acaso,Analise combinatoria,Arranjos permutacoes e combinacoes,Diferenciar modelos de contagem mais estruturados,grande,4,6,4d,media,1.1,1.2,content,true,true,Aprofunda a combinatoria alem do principio fundamental da contagem.
MATH_052,Matematica,Matematica,Contagem e acaso,Probabilidade,Probabilidade composta e condicional,Trabalhar eventos dependentes independentes e compostos,grande,4,6,4d,media,1.1,1.2,content,true,true,Segundo degrau da trilha de probabilidade.
MATH_053,Matematica,Matematica,Funcoes,Funcoes polinomiais,Taxa de variacao e leitura de funcao afim,Interpretar crescimento linear e coeficientes com mais clareza,medio,3,5,3d,alta,1.2,1.3,content,true,true,Refina o no amplo de funcao afim em leitura de taxa e comportamento.
MATH_054,Matematica,Matematica,Funcoes,Funcoes polinomiais,Grafico da funcao afim,Construir e interpretar reta no plano cartesiano,medio,3,5,3d,alta,1.2,1.3,content,true,true,Refina a passagem entre equacao linear e grafico de funcao.
MATH_055,Matematica,Matematica,Funcoes,Funcoes polinomiais,Zeros e fatoracao da funcao quadratica,Encontrar raizes e relacionar fatoracao com grafico,medio,4,6,4d,alta,1.2,1.3,content,true,true,Primeiro recorte mais executavel da funcao quadratica.
MATH_056,Matematica,Matematica,Funcoes,Funcoes polinomiais,Vertice e concavidade da funcao quadratica,Ler maximos minimos eixo de simetria e abertura,medio,4,6,4d,alta,1.2,1.3,content,true,true,Segundo recorte da funcao quadratica com foco em grafico.
MATH_057,Matematica,Matematica,Geometria Espacial,Medidas em solidos,Areas e volumes de prismas e cilindros,Resolver medidas mais diretas em solidos recorrentes,medio,3,5,4d,media,1.0,1.2,content,true,true,Refina os blocos iniciais de geometria espacial aplicada.
MATH_058,Matematica,Matematica,Geometria Espacial,Medidas em solidos,Areas e volumes de piramides cones e esferas,Resolver medidas em solidos mais exigentes,grande,4,6,5d,media,1.0,1.2,content,true,true,Fecha a camada aplicada de geometria espacial.
MATH_059,Matematica,Matematica,Trigonometria,Trigonometria analitica,Reducao ao ciclo e sinais trigonometricos,Localizar angulos notaveis e sinais no ciclo,medio,4,6,4d,media,1.0,1.2,content,true,true,Prepara equacoes e leitura mais segura do ciclo trigonometrico.
MATH_060,Matematica,Matematica,Trigonometria,Trigonometria analitica,Graficos de seno cosseno e tangente,Interpretar periodo amplitude e comportamento basico dos graficos,grande,4,6,5d,media,1.0,1.2,content,true,true,Refina a leitura de funcoes trigonometricas.
PHY_001,Natureza,Fisica,Modelagem e medidas,Analise dimensional,Analise dimensional,Verificar unidades coerencia dimensional e consistencia fisica,pequeno,2,4,2d,alta,1.0,1.2,skill,true,true,No de entrada transversal para grandezas e formulas.
PHY_002,Natureza,Fisica,Cinematica,Grandezas do movimento,Introducao a cinematica,Identificar referencial trajetoria deslocamento e velocidade,pequeno,2,4,2d,alta,1.0,1.2,content,true,true,Entrada conceitual antes dos modelos de movimento.
PHY_003,Natureza,Fisica,Cinematica,Movimento uniforme,Movimento uniforme,Modelar deslocamento tempo e velocidade media com constancia,medio,3,5,2d,alta,1.2,1.3,content,true,true,Primeiro degrau quantitativo da cinematica.
PHY_004,Natureza,Fisica,Cinematica,Movimento uniformemente variado,Movimento uniformemente variado,Trabalhar aceleracao e variacao linear em contextos de movimento,medio,3,5,3d,alta,1.2,1.3,content,true,true,Usa algebra e leitura grafica simples.
PHY_005,Natureza,Fisica,Cinematica,Vetores,Vetores,Representar direcao sentido modulo e decomposicao simples,medio,3,5,3d,alta,1.1,1.2,content,true,true,Base para lancamentos e leitura espacial.
PHY_006,Natureza,Fisica,Cinematica,Movimento circular e uniforme,Movimento circular uniforme,Relacionar periodo frequencia angulo e velocidade angular,medio,4,6,4d,media,1.0,1.2,content,true,true,Cruzamento importante com proporcionalidade e periodicidade.
PHY_007,Natureza,Fisica,Cinematica,Lancamentos,Movimentos verticais,Aplicar MUV em queda livre e lancamento vertical,medio,3,5,3d,alta,1.1,1.2,content,true,true,Degrau intermediario entre MUV e lancamentos bidimensionais.
PHY_008,Natureza,Fisica,Cinematica,Lancamentos,Lancamento horizontal,Relacionar movimento horizontal com queda vertical simultanea,medio,4,6,4d,media,1.1,1.2,content,true,true,Primeiro lancamento plano com decomposicao parcial.
PHY_009,Natureza,Fisica,Cinematica,Lancamentos,Lancamento obliquo,Aplicar decomposicao vetorial e leitura trigonometrica em lancamentos,grande,4,6,4d,media,1.1,1.2,content,true,true,Cruzamento forte entre cinematica e matematica.
PHY_010,Natureza,Fisica,Dinamica,Leis do movimento,Leis de Newton,Interpretar resultante inercia e dinamica de forcas,medio,3,5,3d,alta,1.2,1.3,content,true,true,Entrada principal da dinamica.
PHY_011,Natureza,Fisica,Dinamica,Maquinas simples,Roldanas,Analisar vantagem mecanica e tensoes em sistemas simples,medio,3,5,3d,media,1.0,1.1,content,true,true,Aplicacao dirigida das leis de Newton.
PHY_012,Natureza,Fisica,Dinamica,Forcas especificas,Forca elastica,Aplicar lei de Hooke e energia potencial elastica,medio,3,5,3d,media,1.0,1.1,content,true,true,Conecta proporcionalidade e dinamica.
PHY_013,Natureza,Fisica,Dinamica,Sistemas mecanicos,Sistema de blocos,Montar e resolver sistemas mecanicos acoplados,grande,4,6,4d,media,1.1,1.2,content,true,true,Problema operacional comum em dinamica.
PHY_014,Natureza,Fisica,Dinamica,Movimento circular,Forca centripeta,Relacionar curvatura velocidade e resultante centripeta,medio,3,5,3d,media,1.1,1.2,content,true,true,Conecta dinamica e MCU.
PHY_015,Natureza,Fisica,Dinamica,Forcas especificas,Forca de atrito,Modelar atrito estatico e dinamico em situacoes simples,medio,3,5,3d,media,1.1,1.2,content,true,true,Reforca leitura de resultante e equilibrio.
PHY_016,Natureza,Fisica,Dinamica,Planos e decomposicao,Plano inclinado,Resolver decomposicao de forcas em plano inclinado,grande,4,6,4d,media,1.1,1.2,content,true,true,Usa vetores triangulos e leis de Newton.
PHY_017,Natureza,Fisica,Dinamica,Quantidade de movimento,Quantidade de movimento e impulso,Relacionar variacao de momento e impulso em interacoes,medio,3,5,3d,media,1.0,1.1,content,true,true,Faz ponte entre dinamica e conservacao.
PHY_018,Natureza,Fisica,Dinamica,Energia mecanica,Trabalho e energia cinetica,Aplicar trabalho energia cinetica e teorema trabalho-energia,grande,4,6,4d,alta,1.2,1.3,content,true,true,Primeiro recorte quantitativo da trilha de energia mecanica.
PHY_019,Natureza,Fisica,Gravitacao,Gravitacao universal,Lei da gravitacao,Relacionar massas distancias e atracao gravitacional,medio,3,5,4d,media,1.0,1.1,content,true,true,Entrada quantitativa da gravitacao.
PHY_020,Natureza,Fisica,Gravitacao,Gravitacao orbital,Leis de Kepler,Interpretar leis orbitais e variacao de movimento planetario,medio,3,5,4d,media,1.0,1.1,content,true,true,Fecha a trilha inicial de gravitacao.
PHY_021,Natureza,Fisica,Estatica,Equilibrio basico,Ponto material,Resolver equilibrio translacional em modelos simples,medio,3,5,3d,media,1.0,1.1,content,true,true,Entrada de estatica com modelos simplificados.
PHY_022,Natureza,Fisica,Estatica,Equilibrio rotacional,Corpo extenso,Trabalhar torque alavanca e equilibrio em corpos extensos,grande,4,6,4d,media,1.0,1.2,content,true,true,Aprofunda estatica alem do ponto material.
PHY_023,Natureza,Fisica,Hidrostatica,Densidade,Densidade,Relacionar massa volume e comparacao proporcional,medio,3,5,3d,alta,1.1,1.2,content,true,true,Conecta razao e leitura de unidades.
PHY_024,Natureza,Fisica,Hidrostatica,Pressao,Pressao,Relacionar forca area e distribuicao de grandezas,medio,3,5,3d,media,1.1,1.2,content,true,true,Usa proporcionalidade e geometria plana.
PHY_025,Natureza,Fisica,Hidrostatica,Empuxo,Principio de Arquimedes,Entender empuxo flutuacao e deslocamento de fluido,medio,3,5,3d,media,1.0,1.1,content,true,true,Depende de densidade e pressao.
PHY_026,Natureza,Fisica,Hidrostatica,Pressao em fluidos,Principio de Pascal,Aplicar transmissao de pressao em sistemas hidraulicos,medio,3,5,3d,media,1.0,1.1,content,true,true,Aplicacao direta de pressao em fluidos.
PHY_027,Natureza,Fisica,Hidrodinamica,Fluidos em movimento,Vazao e continuidade,Relacionar vazao velocidade e conservacao de fluxo em fluidos,medio,3,5,4d,media,1.1,1.2,content,true,true,Primeiro recorte operacional da hidrodinamica.
PHY_028,Natureza,Fisica,Termologia,Escalas termometricas,Escalas termometricas,Ler e converter escalas em contexto fisico,pequeno,2,4,2d,media,1.0,1.1,content,true,true,Alvo natural para sistema metrico e proporcionalidade.
PHY_029,Natureza,Fisica,Termologia,Temperatura e calor,Fundamentos da termologia,Diferenciar calor temperatura equilibrio e capacidade termica,medio,3,5,3d,media,1.0,1.1,content,true,true,Entrada conceitual da termologia.
PHY_030,Natureza,Fisica,Termologia,Trocas de calor,Calorimetria,Modelar trocas de calor e mudancas de estado,medio,3,5,3d,alta,1.1,1.2,content,true,true,No quantitativo central da termologia inicial.
PHY_031,Natureza,Fisica,Termologia,Transformacoes termicas,Dilatacao,Aplicar dilatacao linear superficial e volumetrica,medio,3,5,3d,media,1.0,1.1,content,true,true,Extensao direta de variacao termica.
PHY_032,Natureza,Fisica,Termologia,Transferencia termica,Transferencia de calor,Reconhecer conducao conveccao e irradiacao,pequeno,2,4,3d,media,1.0,1.1,content,true,true,Complementa calorimetria com fenomenologia.
PHY_033,Natureza,Fisica,Termologia,Gases,Gases,Relacionar variaveis de estado e transformacoes gasosas,medio,3,5,4d,media,1.1,1.2,content,true,true,Ponte entre proporcionalidade e termodinamica.
PHY_034,Natureza,Fisica,Termologia,Termodinamica,Termodinamica,Interpretar trabalho calor e leis da termodinamica,grande,4,6,4d,media,1.1,1.2,content,true,true,Fecha a trilha inicial de termologia.
PHY_035,Natureza,Fisica,Ondulatoria,Base ondulatoria,Fundamentos da ondulatoria,Definir onda frequencia periodo amplitude e velocidade,medio,3,5,3d,media,1.0,1.1,content,true,true,Entrada conceitual da ondulatoria.
PHY_036,Natureza,Fisica,Ondulatoria,Fenomenos das ondas,Fenomenos ondulatorios,Reconhecer reflexao refracao interferencia e difracao,medio,3,5,3d,media,1.0,1.1,content,true,true,Usa a base geral das ondas.
PHY_037,Natureza,Fisica,Ondulatoria,Som,Propriedades fisiologicas do som,Relacionar altura intensidade timbre e percepcao sonora,pequeno,2,4,3d,media,0.9,1.0,content,true,true,Recorte mais conceitual de som.
PHY_038,Natureza,Fisica,Ondulatoria,Som,Cordas e tubos sonoros,Aplicar formacao de harmonicos em cordas e tubos,grande,4,6,4d,media,1.0,1.1,content,true,true,Exige leitura mais estruturada de ondas estacionarias.
PHY_039,Natureza,Fisica,Ondulatoria,Som,Fenomenos sonoros,Interpretar eco reverberacao ressonancia e batimentos,medio,3,5,3d,media,1.0,1.1,content,true,true,Fecha a trilha inicial do som.
PHY_040,Natureza,Fisica,Ondulatoria,Oscilacoes,MHS,Relacionar oscilacao periodica com grandezas do movimento harmonico,grande,4,6,4d,media,1.0,1.1,content,true,true,Ponte entre ondas e dinamica oscilatoria.
PHY_041,Natureza,Fisica,Optica,Fundamentos da optica,Fundamentos,Entender propagacao da luz e principios basicos da optica,pequeno,2,4,3d,media,1.0,1.1,content,true,true,Entrada da optica geometrica.
PHY_042,Natureza,Fisica,Optica,Espelhos,Espelhos planos,Resolver formacao de imagens em espelhos planos,medio,3,5,3d,media,1.0,1.1,content,true,true,Primeiro recorte concreto da optica.
PHY_043,Natureza,Fisica,Optica,Espelhos,Espelhos esfericos,Aplicar focos espelhos concavos convexos e construcao de imagens,medio,3,5,4d,media,1.1,1.2,content,true,true,Primeiro recorte executavel dos espelhos esfericos.
PHY_044,Natureza,Fisica,Optica,Reflexao e refracao,Refracao,Relacionar indice de refracao e mudanca de trajetoria da luz,medio,3,5,3d,media,1.0,1.1,content,true,true,Abre a camada de lentes e visao.
PHY_045,Natureza,Fisica,Optica,Lentes,Lentes delgadas,Interpretar lentes convergentes divergentes e formacao de imagens,medio,3,5,4d,media,1.1,1.2,content,true,true,Recorte central das lentes antes da camada aplicada da visao.
PHY_046,Natureza,Fisica,Eletrostatica,Eletrizacao,Processos de eletrizacao,Entender atrito contato inducao e conservacao de carga,pequeno,2,4,3d,media,1.0,1.1,content,true,true,Entrada conceitual da eletrostatica.
PHY_047,Natureza,Fisica,Eletrostatica,Interacoes eletricas,Lei de Coulomb,Calcular interacoes eletrostaticas entre cargas pontuais,medio,3,5,3d,media,1.1,1.2,content,true,true,Primeiro degrau quantitativo da eletrostatica.
PHY_048,Natureza,Fisica,Eletrostatica,Campos e potencial,Campo eletrico,Interpretar linhas de campo intensidade e forca eletrica,medio,3,5,3d,media,1.1,1.2,content,true,true,Ponte entre Coulomb e potencial.
PHY_049,Natureza,Fisica,Eletrostatica,Campos e potencial,Potencial eletrico,Relacionar energia potencial diferenca de potencial e trabalho,grande,4,6,4d,media,1.1,1.2,content,true,true,No integrador de campo e energia na eletrostatica.
PHY_050,Natureza,Fisica,Eletrostatica,Condutores e armazenamento,Condutor eletrizado,Entender distribuicao de cargas em condutores,medio,3,5,3d,media,1.0,1.1,content,true,true,Complementa campos e blindagem eletrostatica.
PHY_051,Natureza,Fisica,Eletrostatica,Condutores e armazenamento,Capacitores,Relacionar capacitancia associacao e armazenamento de energia,grande,4,6,4d,media,1.0,1.1,content,true,true,Aplicacao quantitativa avancada da eletrostatica.
PHY_052,Natureza,Fisica,Eletrostatica,Campos e potencial,Trabalho e energia eletrica,Aplicar trabalho eletrico e energia potencial em campos,grande,4,6,4d,media,1.0,1.1,content,true,true,Fecha a camada energetica da eletrostatica.
PHY_053,Natureza,Fisica,Eletrodinamica,Corrente e circuito,Corrente eletrica,Relacionar corrente carga e tempo em circuitos simples,medio,3,5,3d,media,1.0,1.1,content,true,true,Entrada quantitativa da eletrodinamica.
PHY_054,Natureza,Fisica,Eletrodinamica,Corrente e circuito,Leis de Ohm,Manipular relacoes entre corrente tensao e resistencia,medio,3,5,3d,media,1.1,1.2,content,true,true,Usa algebra basica e leitura proporcional.
PHY_055,Natureza,Fisica,Eletrodinamica,Resistores,Associacao de resistores,Resolver associacoes em serie e paralelo,grande,4,6,4d,media,1.1,1.2,content,true,true,Depende de Leis de Ohm e raciocinio sistemico.
PHY_056,Natureza,Fisica,Eletrodinamica,Energia eletrica,Potencia e energia,Interpretar potencia consumo e energia dissipada,medio,3,5,3d,media,1.1,1.2,content,true,true,Aplicacao muito recorrente em circuitos.
PHY_057,Natureza,Fisica,Eletrodinamica,Circuitos,Circuitos,Montar e interpretar circuitos simples com varias relacoes,grande,4,6,4d,media,1.1,1.2,content,true,true,Integra corrente resistores e leitura de malha simples.
PHY_058,Natureza,Fisica,Eletrodinamica,Fontes e dispositivos,Geradores,Relacionar forca eletromotriz resistencia interna e funcionamento de fontes,medio,3,5,4d,media,1.0,1.1,content,true,true,Extensao natural de circuitos.
PHY_059,Natureza,Fisica,Eletrodinamica,Medicao eletrica,Instrumentos,Interpretar amperimetro voltimetro e leitura de circuito,medio,3,5,4d,media,0.9,1.0,content,true,true,Fecha a camada operacional da eletrodinamica.
PHY_060,Natureza,Fisica,Eletromagnetismo,Base magnetica,Fundamentos,Entender campo magnetico polos e interacoes basicas,pequeno,2,4,3d,media,1.0,1.1,content,true,true,Entrada do eixo magnetico.
PHY_061,Natureza,Fisica,Eletromagnetismo,Campo magnetico,Fontes do campo magnetico,Relacionar correntes e imas a geracao de campo magnetico,medio,3,5,3d,media,1.0,1.1,content,true,true,Primeiro aprofundamento do magnetismo.
PHY_062,Natureza,Fisica,Eletromagnetismo,Forcas magneticas,Forca magnetica,Aplicar forca em cargas e condutores em campo magnetico,grande,4,6,4d,media,1.1,1.2,content,true,true,Depende da base de campo magnetico e eletrodinamica.
PHY_063,Natureza,Fisica,Eletromagnetismo,Inducao,Fluxo magnetico e inducao,Interpretar fluxo magnetico fem induzida e variacao de campo,medio,3,5,4d,media,1.1,1.2,content,true,true,Primeiro recorte quantitativo da inducao eletromagnetica.
PHY_064,Natureza,Fisica,Fisica Moderna,Quanta e luz,Fisica quantica e efeito fotoeletrico,Reconhecer quantizacao e explicacao moderna da luz,medio,3,5,5d,baixa,1.0,1.1,content,true,true,Entrada controlada em fisica moderna.
PHY_065,Natureza,Fisica,Fisica Moderna,Espaco e tempo,Teoria da relatividade,Entender dilatacao do tempo contracao e postulados basicos,medio,3,5,5d,baixa,1.0,1.1,content,true,true,Fecha a camada inicial de fisica moderna.
